,dialogue_with_speaker
28187,SAM: No.
28188,"MARWYN: Not a very strong proposition, is it?"
28189,NARRATOR:MARWYN hands SAM the heart. SAM takes it to the scales.
28190,"SAM: Archmaester, with respect, I've seen them--the Army of the Dead. The white walkers. W was sent here to learn how to defeat them, but everyone in the Citadel, those who will even talk to me, they all doubt the walkers ever existed in the first place."
28191,MARWYN: Everyone in the Citadel doubts everything. It's their job. But the tales of the Long Night can't be pure fabrication. Too many similarities from unconnected sources.
28192,SAM: Sources in the restricted area?
28193,MARWYN: The very same. And the simplest explanation for your grating obsession with the white walkers is that you're telling the truth and that you saw what you say you saw.
28194,"SAM: So, you believe me."
28195,MARWYN: I do. You'll finish weighing that heart?
28196,SAM: That makes you the only person south of the Twins who does.
28197,"MARWYN: We're not lie the people south of the Twins. And we're not like the people north of the Twins. In the Citadel, we lead different lives for different reasons. We are this world's memory, Samwell Tarly. Without us, men would be little better than dogs. Don't remember any meal but the last, can't see forward to any but the next. And every time you leave the house and shut the door, they howl like you're gone forever. When Robert's Rebellion was raging, people that the end was near. The end of the Targaryen dynasty. ""How will we survive?"" When Aegon Targaryen turned his eye westward and flew his dragons to Blackwater Rush--""The end is near! How will we survive?"" And thousands of year before that, during the Long Night, we can forgive them for thinking it truly was the end. But it wasn't. None of it was. The Wall has stood through it all. And every winter that ever came has ended."
28198,NARRATOR:MARWYN closes the ledger.
28199,MARWYN: Be a good lad. Clean this up.
28200,NARRATOR:MARWYN exits. SAM stares at the body.
28201,NARRATOR:SAM rolls in a cart of clean bedpans. He walks over to a sleeping maester and grabs a ring of keys fro his bedside table.
28202,"NARRATOR:SAM opens the gate, steps through, and closes it behind him."
28203,NARRATOR:He grabs several books and stuffs them in a satchel.
28204,BRIENNE: Nope.
28205,NARRATOR:They reset. POD advances and they exchange several sword blows but POD missteps again and BRIENNE tags him on the behind. POD grunts.
28206,BRIENNE: Nope.
28207,NARRATOR:TORMUND approaches and stares at BRIENNE. BRIENNE looks at him. POD catches her off guard and tags her shoulder with his blade. She punches him in his gut and tosses him in the snow. TORMUND looks at POD.
28208,TORMUND: You're a lucky man.
28209,"NARRATOR:PETYR BAELISH and SANSA stand on a walkway above the courtyard, watching BRIENNE and POD."
28210,PETYR:  I've heard she beat the Hound in single combat. She's a very impressive woman.
28211,"SANSA: What do you want, Lord Baelish?"
28212,PETYR: I want you to be happy. I want you to be safe.
28213,"SANSA: I am safe. I'm at home, surrounded by friends. I have Brienne to protect me from anyone who would harm me."
28214,PETYR: What about happy? Why aren't you happy? What do you want that you do not have?
28215,"SANSA: At the moment, peace and quiet."
28216,NARRATOR:BRIENNE walks up the stairs. PETYR motions to speak.
28217,"SANSA: No need to seize the last word, Lord Baelish. I'll assume it was something clever."
28218,NARRATOR:PETYR looks at BRIENNE.
28219,PETYR: My lady.
28220,NARRATOR:PETYR looks at SANSA.
28221,PETYR: My lady.
28222,NARRATOR:PETYR walks down the steps and into the courtyard.
28223,BRIENNE: Why is he still here?
28224,NARRATOR:SANSA sighs.
28225,"SANSA: We need his men. Without the Vale, Ramsay Bolton would still hold this castle. Littlefinger saved us."
28226,NARRATOR:BRIENNE nods and watches PETYR walk across the courtyard.
28227,BRIENNE: He wants something.
28228,SANSA: I know exactly what he wants.
28229,MAN (singing): He rode through the streets of the city / Down from his hill on high / O'er the winds and the steps and the cobble / He rode to a woman's sigh / For she was his secret treasure / She was his shame and his bliss / And a chain and a keep are nothing / Compared to a woman's kiss / For hands of gold are always cold / But a woman's hands are warm / For hands of gold are always cold / But a woman's hands are--
28230,NARRATOR:ARYA's horse neighs. The men turn to look at her. One stands.
28231,ARYA: That's a pretty song. I've never heard it before.
28232,MAN: It's a new one.
28233,MAN #2: Are you hungry? We've got some rabbit.
28234,ARYA: I don't want to steal your food.
28235,"MAN #3: You're not stealing, we're offering. Come on, it's gonna be a cold night."
28236,"NARRATOR:ARYA dismounts her horse, leads it nearer to the fire, and ties it reigns off on a tree. She approaches the camp."
28237,MAN #3: You heading south?
28238,ARYA: King's Landing.
28239,MAN #2: Poor girl.
28240,NARRATOR:The men chuckle.
28241,"ARYA: Not so bad, is it?"
28242,"MAN #3: Depends on your taste, I guess. If you like your streets covered in shit and pig's blood, it's the town for you."
28243,NARRATOR:The men chuckle.
28244,"MAN #2: All my life, I wanted to see the Red Keep, the Sept of Baelor, the Dragonpit. Then when I finally make it, they wouldn't let me within a mile of the Red Keep, the Sept of Baelor's blown to hell, and the Dragonpit is a damn ruin."
28245,"MAN #3: The people who live there, they'd skin you alive if they could make two coppers off your hide."
28246,MAN: Worst place in the world.
28247,ARYA: What are you doing in the Riverlands?
28248,"MAN #3: There's been some trouble with the Freys up at The Twins, so we're part of the army that's been sent to keep the peace."
28249,MAN #2: Here you go. Guests first.
28250,NARRATOR:MAN #2 passes ARYA a cooked rabbit.
28251,"ARYA: Oh, no, I couldn't. You don't have enough."
28252,MAN #2: My mother always told me to be kind to strangers. Strangers will be kind to you.
28253,NARRATOR:ARYA pulls some meat of the rabbit's bone and eats it.
28254,"ARYA: You're a long way from home. I'm sure you've had some adventures, though."
28255,"MAN #2: Yeah, endless adventures. They'll be singing about us for a thousand years."
28256,NARRATOR:The men laugh.
28257,"NARRATOR:MAN #3; The truth is when we left home, we couldn't wait to get away. But now we've been gone a while, we can't wait to get home."
28258,MAN #2: I just think about my dad out there on his boat all alone. I ought o be out there with him.
28259,MAN #3: My wife's just had our first baby.
28260,ARYA: Boy or girl?
28261,"MAN #3: Oh, who knows? You think soldiers get ravens with news from home?"
28262,NARRATOR:The men laugh.
28263,MAN #3: I hope it's a girl.
28264,ARYA: Why?
28265,MAN #3: Girls take care of their papas when their papas grow old. Boys just go off to fight in someone else's wars.
28266,MAN #2: Are you old enough to drink?
28267,NARRATOR:ARYA nods. MAN #2 passes a skin of wine to ARYA. She uncorks it and drinks.
28268,MAN #2: It's blackberry wine. I made it myself.
28269,ARYA: It's really good.
28270,"MAN #3: So, why is a nice girl on her own heading to King's Landing?"
28271,NARRATOR:ARYA drinks.
28272,ARYA: I'm going to kill the queen.
28273,"NARRATOR:The men fall silent, then everyone laughs."
28274,"NARRATOR:The farm is covered in snow and the wind howls. SANDOR CLEGANE, THOROS OF MYR, BERIC DONDARRION, and several other members of the Brotherhood Without Banners ride into view."
28275,THOROS: Bad night to be outdoors.
28276,"SANDOR: You've got real powerful magic to figure that out. Did the Lord of Light whisper that in your ear? ""It's snowing, Thoros. It's windy. It's gonna be a cold night."""
28277,"THOROS: You're a grouchy old bear, aren't you, Clegane? You want some rum?"
28278,NARRATOR:THOROS holds out a skin of rum to SANDOR.
28279,SANDOR: Don't like that shit. It's too sweet.
28280,THOROS: Why are you always in such a foul mood?
28281,SANDOR: Experience.
28282,NARRATOR:The horses all stop.
28283,BERIC: This seems like a good place to spend the night.
28284,NARRATOR:They all stare at a nearby farmhouse.
28285,SANDOR: These people don't want us here.
28286,BERIC: Seems deserted to me. No livestock. No smoke coming from the chimney.
28287,NARRATOR:BERIC urges his horse onward. The others follow.
28288,SANDOR: I don't like the look of it.
28289,NARRATOR:THOROS dismounts his horse.
28290,"THOROS: For a big, hard man, you scare easy."
28291,SANDOR: I'll tell you what doesn't scare me: bald cocksuckers like you. You think you're fooling anyone with that top knot? Bald cunt.
28292,NARRATOR:THOROS smiles.
28293,THOROS: Come on. Maybe they've got some ale hidden away.
28294,SANDOR: They don't.
28295,"NARRATOR:Some of the Brothers enter the farmhouse, followed by THOROS."
28296,THOROS: See if there's a larder. They always leave something behind.
28297,NARRATOR:The Brothers rummage around the farmhouse. SANDOR enters.
28298,"NARRATOR:He stares at two skeletons in the corner, one adult-sized and the other child-sized. BERIC enters, sees the skeletons, and walks up beside SANDOR."
28299,BERIC: How do you think it ended for them?
28300,SANDOR: With death.
28301,"BERIC: Girl died in her father's arms. Both of them covered in blood and a knife at their feet. I'd say they were starving. And rather than letting his little girl suffer, he ended it for both of them."
28302,SANDOR: Doesn't matter now.
28303,"BERIC: No, doesn't matter now."
28304,NARRATOR:SANDOR sits at the table. BERIC joins him. SANDOR bites into a hunk of bread. THOROS starts a fire in the fireplace.
28305,"SANDOR: I've known you a long time, Dondarrion."
28306,BERIC: Aye. I think the first time we met was at that tournament--
28307,SANDOR: And I always thought you were dull as dirt.
28308,NARRATOR:BERIC chuckles.
28309,"SANDOR: You're not bad. I don't hate you. Don't like, but you're not bad."
28310,"BERIC: Thank you, Clegane. That warms the heart."
28311,SANDOR: But there's nothing special about you.
28312,BERIC: You're right about that.
28313,"SANDOR: So why does the Lord of Light keep bringing you back? I've met better men than you, and they've been hanged from crossbeams, or beheaded, or just shat themselves to death in a field somewhere. None of them came back. So, why you?"
28314,BERIC: You think I don't ask myself that? Every hour of every day? Why am I here? What am I supposed to do? What does the Lord see in me?
28315,SANDOR: And?
28316,BERIC: I don't know. I don't understand our Lord.
28317,SANDOR: Your Lord.
28318,BERIC: I don't know what He wants from me. I only know that He wants me alive.
28319,"SANDOR: If he's so all-powerful, why doesn't he just tell you what the fuck he wants?"
28320,THOROS: Clegane.
28321,"NARRATOR:SANDOR looks at THOROS, who is kneeling by the fire."
28322,THOROS: Come over here. Don't worry. The fire won't bite. I want to show you something.
28323,SANDOR: It's my fucking luck I end up with a band of fire worshippers.
28324,BERIC: Aye. Almost seems like divine justice.
28325,"SANDOR: There's no divine justice, you dumb cunt. If there was, you'd be dead...and that girl would be alive."
28326,NARRATOR:SANDOR stands and walks closer to the fire.
28327,SANDOR: What do you want?
28328,THOROS: Look into the flames.
28329,SANDOR: I don't want to look in the damn flames.
28330,THOROS: You saw me bring him back from the dead after you cut him down. Don't you want to know what gave me the power?
28331,SANDOR: I keep asking and no one wants to tell me.
28332,THOROS: We can't tell you. Only the fire can tell you.
28333,NARRATOR:SANDOR approaches the fire and looks into it.
28334,THOROS: What do you see?
28335,SANDOR: Logs burning.
28336,THOROS: Keep looking. What do you see?
28337,NARRATOR:SANDOR's face twists.
28338,SANDOR: Ice. A wall of ice. The Wall.
28339,THOROS: What else?
28340,SANDOR: It's where the Wall meets the sea. There's a castle there.
28341,NARRATOR:The fire crackles.
28342,SANDOR: There's a mountain. Looks like an arrowhead. The dead are marching past.
28343,NARRATOR:BERIC stands and approaches the fire.
28344,SANDOR: Thousands of them.
28345,"BERIC: Do you believe me now, Clegane? Do you believe we're here for a reason?"
28346,NARRATOR:Thoros wakes to the sound of shoveling. He picks up his sword and a lantern and exits the farmhouse. SANDOR is outside digging a grave.
28347,"THOROS: What the hell are you doing, Clegane?"
28348,NARRATOR:SANDOR plants his shovel in the ground.
28349,SANDOR: Burying the dead.
28350,"NARRATOR:SANDOR walks over to the body of the child, lifts it up, kneels down, and places it in the hole."
28351,THOROS: You knew these people.
28352,SANDOR: Not really.
28353,"NARRATOR:SANDOR stands, walks over to the body of the adult, lifts it up, kneels down, and places it in the hole. Then he stands and starts shoveling dirt into the hole. THOROS plants his sword in the ground and puts down his lantern, then picks up a shovel and begins helping SANDOR bury the bodies. When they're finished,"
28354,NARRATOR:they stand over the grave.
28355,"SANDOR: We ask the Father to judge us with mercy. We ask the Mother to... Fuck it, I don't remember the rest. I'm sorry you're dead. You deserved better. Both of you."
28356,NARRATOR:SANDOR tosses down his shovel and exits. THOROS watches him leave.
28357,LITTLE SAM: Mom.
28358,NARRATOR:GILLY turns to SAM.
28359,"GILLY: You should really sleep, Sam."
28360,SAM: The dead don't.
28361,"NARRATOR:GILLY stands, carries a book over to the table, and sits."
28362,"GILLY: ""Legends of the Long Night."""
28363,NARRATOR:GILLY opens the book.
28364,SAM: The Targaryens used dragonglass to decorate their weapons without even knowing what the First Men used it for.
28365,NARRATOR:SAM sighs and turns the page. There is a diagram of a knife on the page. He turns the page again. There is a map on the page. SAM looks more closely at the map.
28366,GILLY: What is it?
28367,SAM: It's a map of Dragonstone. The Targaryens built their first stronghold there when they invaded Westeros.
28368,NARRATOR:SAM points to a section of the map depicting a cave surrounded by a black mass.
28369,GILLY: That's dragonglass?
28370,"SAM: A mountain of it. Beneath the ground. Stannis told me, but I didn't think... This is important. Jon needs to know."
28371,NARRATOR:SAM grabs a quill and begins writing.
28372,"NARRATOR:SAM wheels a cart along the hall. He removes a bowl from a folded-out plank in the door beside him and folds the plank back up. He puts the bowl on the cart and pushes it further down the hall. He approaches the next door, picks up the bowl, and folds in the plank. A man can be heard vomiting and coughing inside. SAM puts the bowl on the cart and pushes it further down the hall. He approaches the next door and reaches for the bowl, but a hand lurches out from the hole in the door and grabs the bowl. SAM jumps backwards and gasps. The arm of the person behind the door is covered in grayscale, revealing it belongs to JORAH MORMONT. JORAH drops the bowl on the floor."
28373,JORAH: Has she come yet?
28374,SAM: Who?
28375,JORAH: The Dragon Queen. Daenerys Stormborn.
28376,SAM: Haven't heard anything.
28377,NARRATOR:JORAH pulls his hand back inside the cell. SAM approaches and folds up the plank.
28378,"NARRATOR:Everyone gets out of the rowboat. DAENERYS walks on ahead. She kneels down and presses her palm to the sand, then stares up at the castle and walks further down the beach. The others follow. They climb the steps and approach a gate flanked by two statues of dragon heads. Two Unsullied approach the gate and push it open, revealing a walkway up to the castle. DAENERYS, TYRION, MISSANDEI, GREY WORM, and VARYS walk through the gates and up the walkway. They enter the foyer. A tapestry bearing the stag sigil of House Baratheon is hanging off to the side. DAENERYS approaches it and tears it down. DAENERYS approaches a set of doors. Two Unsullied open them for her. She enters the throne room, followed by the others. VARYS and MISSANDEI stop following her. GREY WORM starts to continue onward but MISSANDEI puts her hand on his chest to stop him. DAENERYS approaches the throne and stares at it. TYRION looks around the hall. DAENERYS ascends the steps but walks past the throne into the Chamber of the Painted Table. TYRION follows. DAENERYS walks alongside the table and runs her fingers across it. TYRION walks alongside the table opposite her and stares at the dragon carvings on the wall. DAENERYS stands at the head of the table and stares down at the map of Westeros. TYRION looks at her."
28379,DAENERYS: Shall we begin?
28380,NARRATOR:CREDITS
28381,"TYRION: On a night like this, you came into the world."
28382,VARYS: I remember that storm. All the dogs in King's Landing howled through the night.
28383,DAENERYS: I wish I could remember it.
28384,NARRATOR:DAENERYS turns away from the window and walks over to the table.
28385,DAENERYS: I always thought this would be a homecoming. It doesn't feel like home.
28386,TYRION: We won't stay on Dragonstone for long.
28387,DAENERYS: Good.
28388,NARRATOR:DAENERYS looks at the figurines placed on the table
28389,DAENERYS: Not so many lions.
28390,"VARYS: Cersei controls fewer than half the Seven Kingdoms. The lord of Westeros despise her. Even before your arrival, they plotted against her. Now..."
28391,DAENERYS: They cry out for their true queen? They drink secret toasts to my health?
28392,NARRATOR:DAENERYS walks closer to VARYS.
28393,"DAENERYS: People used to tell my brother that sort of thing, and he was stupid enough to believe them."
28394,NARRATOR:DAENERYS picks up a dragon figurine from the table.
28395,"DAENERYS: If Viserys had three dragons and an army at his back, he'd have invaded King's Landing already."
28396,TYRION: Conquering Westeros would be easy for you. But you're not here to be queen of the ashes.
28397,DAENERYS: No.
28398,NARRATOR:DAENERYS puts down the dragon figurine.
28399,"TYRION: We can take the Seven Kingdoms without turning it into a slaughterhouse. If the great houses support your claim against Cersei, the game is won. With the Tyrell army and the Dornish on our side, we have powerful allies in the south."
28400,NARRATOR:DAENERYS looks at VARYS.
28401,DAENERYS: I never properly thanked you for that.
28402,"VARYS: They joined our side, my queen, because they believe in you."
28403,"DAENERYS: You served my father, didn't you, Lord Varys?"
28404,VARYS: I did.
28405,DAENERYS: And then you served the man who overthrew him?
28406,"VARYS: I had a choice, Your Grace--serve Robert Baratheon or face the headman's axe."
28407,DAENERYS: But you didn't serve him long. You turned against him.
28408,"VARYS: Robert was an improvement on your father, to be sure. There have been few rulers in history as cruel as the Mad King. Robert was neither mad nor cruel. He simply had no interest in being king."
28409,DAENERYS: So you took it upon yourself to find a better one.
28410,"TYRION: Your Grace, when I was ready to drink myself into a small coffin, Lord Varys told me about a queen in the east who--"
28411,"DAENERYS (to VARYS): Before I came to power, you favored my brother. All your spies, your little birds, did they tell you Viserys was cruel, stupid, and weak? Would those qualities have made for a good king in your learned opinion?"
28412,"VARYS: Until your marriage to Khal Drogo, Your Grace, I knew nothing about you, save your existence and that you were said to be beautiful."
28413,DAENERYS: So you and your friends traded me like a prized horse to the Dothraki.
28414,VARYS: Which you turned to your advantage.
28415,DAENERYS: Who gave the order to kill me?
28416,VARYS: King Robert.
28417,DAENERYS: Who hired the assassins?
28418,NARRATOR:DAENERYS walks closer to VARYS.
28419,DAENERYS: Who sent word to Essos to murder Daenerys Targaryen?
28420,"VARYS: Your Grace, I did what had to be done to--"
28421,DAENERYS: To keep yourself alive.
28422,TYRION: Lord Varys has proven himself a loyal servant.
28423,"DAENERYS: Proven himself loyal? Quite the opposite. If he dislikes one monarch, he conspires to crown the next one. What king of a servant is that?"
28424,"VARYS: The kind the realm needs. Incompetence should not be rewarded with blind loyalty. As long as I have my eyes, I'll use them. I wasn't born into a great house. I came from nothing. I was sold as a slave and carved up as an offering. When I was a child, I lived in alleys, gutters, abandoned houses. You wish to know where my true loyalties lie? Not with any king or queen, but with the people. The people who suffer under despots and prosper under just rule. The people whose hearts you aim to win. If you demand blind allegiance, I respect your wishes. Grey Worm can behead me or your dragons can devour me. But if you let me live, I will serve you well. I will dedicate myself to seeing you on the Iron Throne because I choose you. Because I know the people have no better chance than you."
28425,"DAENERYS: Swear this to me, Varys. If you ever think I'm failing the people, you won't conspire behind my back. You'll look me in the eye as you have done today, and you'll tell me how I'm failing them."
28426,"VARYS: I swear it, my queen."
28427,"DAENERYS: And I swear this--if you ever betray me, I'll burn you alive."
28428,NARRATOR:VARYS smiles.
28429,VARYS: I would expect nothing less from the Mother of Dragons.
28430,"GREY WORM: Forgive me, my queen. A red priestess from As'shai has come to see you."
28431,"NARRATOR:MELISANDRE is standing alone in the throne room. DAENERYS enters, accompanied by TYRION, VARYS, MISSANDEI, and GREY WORM. They approach MELISANDRE."
28432,NARRATOR:MELISANDRE begins speaking Valyrian.
28433,"MELISANDRE:  Queen Daeneys, I was a slave once, bought and sold, scourged and branded.  It is an honor to meet the Breaker of Chains."
28434,DAENERYS:  The Red Priests helped bring peace to Meereen.  You are very welcome here.  What is your name?
28435,MELISANDRE:  I am called Melisandre.
28436,NARRATOR:VARYS begins speaking English.
28437,"VARYS:  She once served another who wanted the Iron Throne.  It didn't end well for Stannis Baratheon, did it?"
28438,"MELISANDRE:  No, it didn't."
28439,DAENERYS:  You chose an auspicious day to arrive at Dragonstone.
28440,NARRATOR:DAENERYS turns to look at Varys.
28441,DAENERYS:  We've just decided to pardon those who served the wrong king.
28442,NARRATOR:VARYS bows his head to DAENERYS.  DAENERYS turns back to MELISANDRE.
28443,"DAENERYS:  The Lord of Light doesn't have  many followers in Westeros, does he?"
28444,MELISDANDRE:  Not yet.   But even those who don't worship the Lord can serve his cause.
28445,DAENERYS:  What does your Lord expect from me?
28446,NARRATOR:MELISANDRE begins speaking Valyrian again.
28447,MELISANDRE:  The Long Night is coming.  Only the prince who was promised can bring the dawn.
28448,NARRATOR:DAENERYS speaking in English.
28449,DAENERYS:  The prince who was promised will bring the dawn.  I'm afraid I'm not a prince.
28450,"MISSANDEI:  Your Grace, forgive me, but your translation is not quite accurate.  That noun has no gender in High Valyrian, so the proper translation for that prophecy would be the prince or princess who was promised will bring the dawn."
28451,"TYRION:  Doesn't really roll off the tongue, does it?"
28452,"DAENERYS:  No, but I like it better."
28453,NARRATOR:DAENERYS turns back to MELISANDRE.
28454,DAENERYS:  And you believe this prophecy refers to me?
28455,"MELISANDRE:  Prophecies are dangerous things.  I believe you have a role to play, as does another.  The King in the North, Jon Snow."
28456,TYRION:  Jon Snow?  Ned Stark's bastard?
28457,DAENERYS:  You know him?
28458,TYRION:  I traveled with him to the Wall when he joined the Night's Watch.
28459,"VARYS:  And why do you think the Lord of Light singled out this Jon Snow aside from the visions you've seen in the flames, that is?"
28460,MELISANDRE:  As Lord Commander of the Night's Watch he allowed the Wildlings south of the Wall to protect them from great danger.  As King in the North he has united those Wildlings with the northern houses so together they may face their common enemy.
28461,DAENERYS:  He sounds like quite a man.
28462,"MELISANDRE:  Summon Jon Snow.  Let him stand before you and tell you things that have happened to him, the things that he has seen with his own eyes."
28463,"TYRION:  I can't speak to prophecies or visions in the flames, but I like Jon Snow and I trusted him, and I am an excellent judge of character."
28464,NARRATOR:DARNERYS smiles at Tyrion.
28465,"TYRION:  If he does rule the north, he would make a valuable ally.  The Lannisters executed his father and conspired to murder his brother.  Jon Snow has even more reason to hate Cersei than you do."
28466,NARRATOR:DAENERYS pauses for a moment.
28467,DAENERYS:  Very well.  Send a raven north.  Tell Jon Snow that his Queen invites him to come to Drangonstone...and bend the knee.
28468,"NARRATOR:Young boys and girls are practicing archery.  JON, SANSA and DAVOS stand on the upper level watching the training."
28469,SANSA:  Do you think it's really Tyrion?  It could be someone trying to lure you into a trap.
28470,JON:  Read the last bit.
28471,"SANSA:  ""All dwarfs are bastards in their father's eyes.""  What does that mean?"
28472,JON:  It's something he said to me the first night we met.  You know him better than any of us.  What do you think?
28473,"SANSA:  Tyrion is not like the other Lannisters.  He was always kind to me, but it's too great a risk.  ""The Seven Kingdoms will bleed as long as Cersei sits on the Iron Throne.  Join us.  Together we can end her tyranny."""
28474,"DAVOS:  Sounds like a charmer.  Of course, the casual mention of a Dothraki horde, a legion of Unsullied and three dragons, a bit less charming."
28475,NARRATOR:DAVOS pauses to ponder something.
28476,JON:  What?
28477,"DAVOS:  Fire kills Whites, you told me.  What breathes fire?"
28478,SANSA:  You're not suggesting Jon meet with her?
28479,"DAVOS:  No, too dangerous."
28480,JON:  But?
28481,"DAVOS:  But if the Army of the Dead makes it passed the Wall, do we have enough men to fight them?"
28482,NARRATOR:JON gazes back to the courtyard looking concerned.
28483,"NARRATOR:CERSEI sits on the Iron Throne.  She is surrounded by JAIME, QYBURN, THE MOUNTAIN and members of her Queensguard.  Many lords are in attendance including RANDYLL TARLEY."
28484,"CERSEI:  If the Mad King's daughter takes the Iron Throne, she will destroy the Realm as we know it.  Some of you are bannermen of House Tyrell.  But House Tyrell is in open rebellion against the Crown.  With their help the Mad King's daughter has ferried an army of savages to our shores.  Mindless Unsullied soldiers who will destroy your castles and your holdfasts.  Dothraki heathens who will burn your villages to the ground, rape and enslave your women, and butcher your children without a second thought.  This is how Olenna Tyrell rewards centuries of service and loyalty."
28485,NARRATOR:The lords begin murmuring amongst themselves.
28486,"CERSEI:  You all remember the Mad King.  You remember the horrors he inflicted upon his people.  His daughter is no different.  In Essos her brutality is already legendary.  She crucified hundreds of noblemen in Slaver's Bay.  And when she grew bored of that, she fed them to her dragons."
28487,NARRATOR:The lords murmur louder
28488,"CERSEI:  It is my solemn duty to protect the people, and I will but I need your help, My Lords.  We must stand together, all of us, if we hope to stop her."
28489,NARRATOR:RANDYLL TARLEY slowly approaches the throne.
28490,"RANDYLL:  She has three full-grown dragons, Your Grace.  The same as Aegon when he conquered the Seven Kingdoms.  How do you propose to stop them?"
28491,NARRATOR:CERSEI glances over to QYBURN.
28492,"QYBURN:  We are currently at work on a solution, My Lord."
28493,NARRATOR:The meeting disbands.  All the lords walk out into the hall outside of the throne room.  JAIME approaches RANDYLL TARLEY and begins to walk with him.
28494,JAIME:  Lord Tarley.
28495,"RANDYLL:  Ser, Jaime.  I believe you know my son."
28496,"DICKON:  Ser, Jaime."
28497,"JAIME:  Rickon, isn't it?"
28498,DICKON:  Dickon.
28499,JAIME:  That's it.
28500,NARRATOR:JAIME walks past Dickon and begins a discussion with Randyll
28501,JAIME:  Thank you for coming.  The other lords of the Reach look to you for guidance now more than ever.  They might not have come if you hadn't.
28502,"RANDYLL:  If my queen summons me, I answer the call.  And I've heard what she does to those that defy her."
28503,NARRATOR:JAIME and RANDYLL walk to an unoccupied hallway and continue their conversation.
28504,JAIME:  Do you ride for Hornhill today?
28505,RANDYLL:  I have an army to mobilize.  It won't be long until the fighting starts.
28506,JAIME:  And what side will you be fighting for?  You were the only man to defeat Robert Baratheon in battle.  Not even Rhaegar Targaryen could --
28507,"RANDYLL:  It's a long ride back to the reach, Ser Jaime.  How may I serve?"
28508,JAIME:  I want you to be my ranking general in the wars to come.  I want you to swear allegiance to Cersei and I want you to help her destroy her enemies.  All of her enemies.
28509,RANDYLL:  Including Olenna Tyrell?  I'm a Tarley.  That name means something.  We're not oath breakers.  We're not schemers.  We don't stab our rivals in the back or cut their throats at weddings.   I swore an oath to House Tyrell.
28510,"JAIME:  You swore an oath to the Crown as well, Lord Tarley."
28511,RANDYLL:  I've known Olenna since I was a child.
28512,"JAIME:  She was a great woman, once.  Now she's broken.  She wants revenge so badly she brought the Dothraki to our shores.  The Dothraki in Westeros for the first time in history.  I know you don't like my sister, but you have to make a choice.  Do you fight with us or with the foreign savages and eunuchs?"
28513,NARRATOR:RANDYLL nods his head in agreement
28514,JAIME:  When the war is won the queen will need a new warden of the south.  I can think of no better man than Randyll Tarley.
28515,"NARRATOR:ARCHMAESTER MARWYN, SAMWELL and JORAH are standing together in the quarantine room.  JORAH's upper body is covered in Greyscale except his face."
28516,MARWYN:  The infection has spread too far.  You should have cut off your arm the moment you were touched.
28517,JORAH:  How long?
28518,"MARWYN:  It will be years before it kills you.  It could be 10, could be 20."
28519,JORAH:  But how long 'till...
28520,"MARWYN:  Your mind?  Six months, maybe fewer."
28521,NARRATOR:JORAH sighs and sits down on his bed.  SAMWELL approaches MARWYN.
28522,"SAMWELL: Pardon, Archmaester.  I met Stannis Baratheon's daughter at Castle Black.  She had Greyscale as a baby and was cured.  Isn't there some way --"
28523,MARWYN:  Does this look like a baby to you?
28524,SAMWELL:  No.
28525,MARWYN:  Have you studied the varying rates of Greyscale progression in infants and fully grown men?
28526,SAMWELL:  No.
28527,MARWYN:  Maester Chrissen discovered Shireen Baratheon's affliction immediately.
28528,NARRATOR:MARWYN turns to face JORAH.
28529,"MARWYN:  This is quite advanced and beyond our skills, Ser.  Were you a commoner I'd have you shipped to Valyria at once to live out your life with the Stone Men.  As an anointed Knight I'll allow you one more day.  How you choose to spend that time is up to you."
28530,NARRATOR:JORAH nods his head.  MARWYN turns to leave the room and begins walking to the door.
28531,"MARWYN:  Come, Samwell."
28532,"SAMWELL:  Should we send word to your family, Ser..."
28533,JORAH:  Jorah.  Jorah Mormont.
28534,SAMWELL:  Mormont?
28535,JORAH:  There's no need.  I've been dead to them for years.
28536,NARRATOR:MARWYN is waiting for SAMWELL in the hallway
28537,"MARWYN:  Come, Samwell."
28538,NARRATOR:SAMWELL turns and walks out of the room.  He closes the door to the quarantine room.
28539,NARRATOR:QYBURN and CERSEI are walking along the torch lit dungeon passing the dragon skulls.
28540,"QYBURN:  Have you ever been down here, Your Grace?"
28541,"CERSEI:  No, I can't say I have.  I haven't seen these since Robert had them removed from the Throne Room."
28542,QYBURN:  Curious that King Robert did not have them destroyed.
28543,CERSEI:  They were his trophies.  He couldn't keep them around.  They would have made him look small.  Sometimes he would come down here and look at them.  I believe he brought his whores on occasion.
28544,NARRATOR:QYBURN and CERSEI arrive at the end of the dungeon.  They are looking at the largest dragon skull in the room.
28545,"QYBURN:  Balerion the Dread.  The beast that Aegon rode across the sea.  Its flames forged the Iron Throne and brought the Seven Kingdoms to heel.  Powerful, but not invincible."
28546,NARRATOR:QYBURN turns and starts walking away from the dragon skull.
28547,"QYBURN:  Apparently one of Daenarys' dragons was wounded by spears in the fighting pits of Meereen.  If they can be wounded, they can be killed."
28548,NARRATOR:QYBURN walks up to a machine covered by a cloth.  He reaches up and removes the cloth revealing an artillery-sized crossbow aimed at Balerion's skull.
28549,"QYBURN:  The finest artilleters and blacksmiths in King's Landing have been laboring day and night, Your Grace.  If you'd kindly pull that lever."
